BL,SHIP_DATE,STATUS
249641,2023-08-16,Staged
249695,2023-09-14,ETA
249696,2023-08-08,ETA
249697,2023-09-22,ETA
249737,2023-08-21,BL Received
249738,2023-08-15,ETA
249764,2023-08-01,ETA
249514,2023-09-05,TBA
249556,2023-09-05,ETA
249557,2023-10-02,ETA
249558,2023-08-17,BL Received
249645,2023-09-29,ETA
249646,2023-08-15,ETA/Awaiting Payment
249739,2023-08-02,ETA
249740,2023-08-02,ETA
249768,2023-08-16,ETA
249769,2023-08-18,ETA
249770,2023-08-18,ETA
249772,2023-08-16,ETA
249515,2023-08-25,ETA
249517,2023-08-28,ETA
249560,2023-08-15,ETA/Awaiting Payment
249562,2023-08-28,BL Sent
249620,2023-09-05,BL Sent
249647,2023-08-18,ETA/Awaiting Payment
249648,2023-08-11,Delayed
249703,2023-09-18,ETA
249704,2023-09-29,Partial ETA
249706,2023-08-08,Awaiting Payment
249744,2023-09-04,BL Sent
249746,2023-08-23,ETA
249775,2023-08-23,BL Received
249776,2023-08-04,ETA
249807,2023-08-09,ETA
249809,2023-08-16,Staged
249810,2023-08-29,Partial ETA
249652,2023-09-06,BL Sent
249707,2023-08-21,Staged
249708,2023-09-01,ETA
249709,2023-09-05,ETA
249748,2023-08-31,BL Sent
249780,2023-08-17,Staged
249811,2023-08-22,Partial ETA
249812,2023-09-18,Shelf Life
249813,2023-09-25,Shelf Life
249814,2023-10-02,Shelf Life
249843,2023-09-11,ETA
249844,2023-08-29,ETA
249845,2023-08-09,Delayed
249846,2023-08-03,TBA
249847,2023-10-03,ETA
249848,2023-09-21,BL Sent
249752,2023-08-17,ETA
249816,2023-08-07,Awaiting Payment
249817,2023-10-16,BL Sent
249818,2023-09-18,ETA
249851,2023-08-21,BL Sent
249852,2023-08-16,Staged
249853,2023-08-16,Staged
249854,2023-10-06,ETA
249872,2023-08-08,Shipped
249924,2023-08-22,ETA
249925,2023-08-08,ETA
249926,2023-08-10,Margin
249661,2023-08-16,Awaiting Information
249715,2023-09-05,ETA
249717,2023-08-10,Delayed
249756,2023-08-04,Price Discrepancy
249758,2023-09-05,Partial ETA
249787,2023-09-05,ETA
249790,2023-09-12,ETA
249819,2023-08-21,
249820,2023-08-16,Staged
249821,2023-08-17,Staged
249855,2023-08-11,TBA
249856,2023-08-18,TBA
249857,2023-08-18,ETA
249858,2023-08-28,Partial ETA - RR
249875,2023-08-23,Partial ETA
249876,2023-09-12,ETA
249877,2023-08-29,ETA
249927,2023-09-13,ETA
249929,2023-09-05,ETA
249930,2023-08-11,ETA
249666,2023-08-02,BL Sent
249823,2023-08-11,Staged
249860,2023-08-03,ETA
249862,2023-08-24,ETA
249879,2023-08-16,Staged
249880,2023-08-14,ETA
249881,2023-08-22,Partial ETA
249882,2023-11-21,ETA
249931,2023-08-11,Staged
249932,2023-08-08,ETA
249933,2023-08-23,BL Received
249934,2023-08-22,BL Received
249955,2023-08-11,Delayed
249957,2023-08-14,Staged
249958,2023-08-14,Staged
249668,2023-08-21,Partial ETA - SC
249797,2023-09-05,ETA
249827,2023-08-11,Staged
249828,2023-09-05,BL Sent
249829,2023-09-05,BL Sent
249866,2023-09-19,Shelf Life
249883,2023-08-22,BL Sent
249884,2023-08-22,ETA
249885,2023-10-02,BL Sent
249886,2023-08-07,ETA
249935,2023-08-23,BL Received
249936,2023-08-14,Invoicing
249937,2023-08-21,Staged
249938,2023-11-14,ETA/Awaiting Payment
249961,2023-09-06,ETA
249962,2023-11-21,ETA
249671,2023-08-18,BL Received
249728,2023-09-01,BL Sent
249800,2023-08-30,In Stock
249834,2023-12-05,ETA
249867,2023-08-09,Margin
249868,2023-08-08,ETA
249870,2023-08-16,BL Received
249887,2023-09-04,ETA
249889,2023-08-17,Partial ETA
249890,2023-09-15,BL Sent
249939,2023-08-04,BL Sent
249940,2023-08-21,BL Received
249941,2023-09-11,ETA
249942,2023-08-08,ETA
249675,2023-10-04,Partial ETA
249676,2023-09-22,ETA
249677,2023-09-22,ETA
249678,2023-10-23,ETA
249835,2023-08-02,Staged
249836,2023-08-03,Price Discrepancy
249837,2023-08-04,Staged
249838,2023-08-16,Staged
249891,2023-10-31,BL Sent
249892,2023-08-07,ETA
249893,2023-09-04,ETA
249894,2023-09-11,BL Sent
249943,2023-09-21,ETA
249944,2023-08-31,Partial ETA
249945,2023-09-22,ETA
249946,2023-08-24,BL Received
249967,2023-09-27,Awaiting Payment
249969,2023-08-16,ETA
249970,2023-08-14,Delayed
249979,2023-08-15,ETA
249980,2023-09-12,BL Sent
249981,2023-09-29,BL Sent
249982,2023-08-16,Delayed
250023,2023-08-15,Partial ETA
250024,2023-08-16,Staged
250025,2023-08-18,BL Received
249679,2023-11-20,ETA
249680,2023-09-22,ETA
249681,2023-09-22,ETA
249682,2023-10-20,ETA
249841,2023-08-18,BL Received
249842,2023-08-23,Partial ETA
249895,2023-10-02,ETA
249896,2023-10-18,ETA
249898,2023-08-24,ETA
249947,2024-01-09,ETA
249948,2023-09-18,ETA
249949,2023-08-11,ETA
249971,2023-08-10,Staged
249973,2023-08-21,BL Received
249974,2023-08-18,BL Received
249983,2023-09-11,BL Sent
249984,2023-09-12,ETA
249985,2023-09-19,ETA
250026,2023-08-14,Delayed
250029,2023-08-16,Staged
250104,2023-08-18,Staged
250105,2023-08-15,
250107,2023-08-21,
249683,2023-10-20,ETA
249684,2023-09-13,In Stock
249686,2023-08-22,BL Received
249899,2023-08-08,Delayed
249900,2023-08-07,ETA
249902,2023-08-17,Staged
249952,2023-08-11,Delayed
249953,2023-08-11,Delayed
249975,2023-10-10,ETA
249976,2023-08-28,BL Sent
249977,2023-08-15,Delayed
249978,2023-08-11,Delayed
249987,2023-08-31,ETA
249988,2023-08-21,BL Received
249989,2023-09-25,In Stock
249990,2023-08-29,BL Received
250030,2023-08-21,BL Sent
250031,2023-08-21,BL Sent
250032,2023-10-03,ETA
250033,2023-09-12,Partial ETA
250110,2023-10-02,In Stock
250111,2023-08-21,
250112,2023-11-01,In Stock
250137,2023-08-17,Staged
250138,2023-09-06,ETA
250139,2023-08-28,Partial ETA
250140,2023-08-16,Awaiting Payment
249689,2023-08-18,BL Received
249904,2023-09-05,Partial ETA - SC
249906,2023-11-20,ETA
249991,2023-08-15,ETA
249992,2023-12-05,ETA
249994,2023-08-21,BL Received
250034,2023-09-05,BL Sent
250035,2023-09-07,BL Sent
250037,2023-08-14,Staged
250113,2023-08-16,Staged
250114,2023-09-11,Shelf Life
250116,2023-09-04,ETA
250141,2023-09-07,BL Sent
250142,2023-08-24,Staged
250143,2023-10-05,BL Sent
250144,2023-08-25,Staged
250188,2023-08-17,Partial ETA - RR
250189,2023-09-20,ETA
250190,2023-10-18,ETA
250211,2023-10-16,ETA
250220,2023-08-22,BL Received
250221,2023-09-11,ETA
250222,2023-09-18,Partial ETA
250223,2023-08-23,Price Discrepancy
249907,2023-08-29,BL Sent
249910,2023-08-09,ETA
249995,2023-08-11,Partial ETA - RR
249996,2023-08-14,Staged
250041,2023-08-15,Shipped
250117,2023-08-16,Staged
250119,2023-08-23,ETA
250120,2023-10-03,ETA
250145,2023-08-18,Staged
250146,2023-08-17,Price Discrepancy
250147,2023-09-07,Shelf Life
250148,2023-08-18,Staged
250191,2023-08-15,ETA
250192,2023-08-17,ETA
250193,2023-08-17,Staged
250194,2023-08-16,Staged
250224,2023-08-21,Price Discrepancy
250225,2023-09-26,ETA
250226,2023-09-04,Awaiting Information
250227,2023-09-04,ETA
249911,2023-08-03,ETA
249912,2023-09-19,BL Sent
249913,2023-09-19,BL Sent
250000,2023-08-28,ETA
250001,2023-09-13,ETA
250002,2023-08-28,ETA
250045,2023-08-22,BL Sent
250121,2023-08-16,BL Received
250122,2023-08-18,Staged
250123,2023-08-28,ETA
250124,2023-08-16,Staged
250149,2023-08-30,ETA
250150,2023-08-15,Staged
250151,2023-10-03,ETA
250152,2023-08-23,BL Received
250195,2023-09-05,Shelf Life
250196,2023-09-05,BL Received
250197,2023-12-05,ETA
250198,2023-09-07,BL Received
250228,2023-08-25,BL Sent
250229,2023-08-25,BL Sent
249915,2023-09-05,BL Sent
249916,2023-09-05,BL Sent
249918,2023-09-11,ETA
250004,2023-10-13,ETA
250005,2023-09-29,Shelf Life
250046,2023-08-16,
250048,2023-08-16,
250049,2023-08-16,
250125,2023-08-16,Delayed
250126,2023-08-17,Staged
250127,2023-08-22,BL Received
250128,2023-08-17,Partial ETA
250154,2023-09-15,ETA/Awaiting Payment
250155,2023-09-15,ETA/Awaiting Payment
250156,2023-08-31,Price Discrepancy
250199,2023-09-12,BL Received
250200,2023-09-25,BL Sent
250201,2023-08-16,BL Sent
250202,2023-08-30,BL Received
249919,2023-08-14,ETA
249921,2023-08-29,ETA
249922,2023-08-18,Staged
250006,2023-08-17,Staged
250009,2023-08-28,BL Sent
250051,2023-08-15,ETA
250052,2023-08-14,ETA
250129,2023-08-16,Staged
